feature,mean_abs_shap
D_tmr_cpr_tc,1.7124474315650335
D_cpr_tc,0.9200302387148694
D_resistance1,0.5448780384572748
D_weekly_trend,0.2618921481142372
D_monthly_trend,0.21942961328580438
D_cpr_pivot,0.20446581149323217
D_support1,0.17857337454902722
D_tmr_cpr_bc,0.1251079612603062
D_rsi7,0.08449946293655518
D_vpoc,0.06875968119585399
D_range_to_atr14,0.054771661139169474
D_ema20_angle_deg_lag1,0.05438014706651991
D_ema20_angle_deg,0.04466495742602276
D_cpr_bc,0.041393499777022426
D_cpr_width_pct,0.04112744699020906
D_resistance2,0.03430295411203886
D_atr30,0.03298546819881905
D_rsi7_gt_rsi14,0.032561838721987355
D_mdi14,0.029192155533808887
D_rsi14,0.016739548084596347
D_obv_slope,0.016492427289079747
D_pdi14,0.01581647968920077
D_atr_ratio_14_30,0.015375954908302004
D_atr14,0.015072760769116707
D_daily_trend,0.013158380005802026
D_pivot,0.012201271933516602
D_rsi14_lag2,0.011705872088768058
D_obv_slope_lag1,0.011618499743075843
D_weekly_vpoc,0.011429165154319076
D_oli,0.010447220594409425
D_obv,0.0099590150057365
D_ema20_angle_deg_lag2,0.009777811937854347
D_sma200,0.009267898952691561
DayType_bullish,0.00837106890502709
D_support2,0.007656077889981281
D_ll,0.006494283183274497
D_rsi14_lag1,0.005645780523208315
D_adx14_lag2,0.0050914277330137096
D_obv_slope_lag2,0.004234620395650705
D_nr,0.004031860674508138
D_hl,0.0037589903968994233
D_adx14_lag1,0.0036874446938342273
D_adx14,0.0036662233182520325
D_ema_stack_20_50_100,0.0028364605188249334
D_sma5,0.0027593499820818624
D_prev_close,0.0020268052262781395
Struct_range,0.0019631427408453245
D_prev_high,0.0019310234248057167
D_nr_day,0.0018403693854202577
D_price_and_obv_rising,0.0017669528994909965
D_nr_length,0.001617522341315604
D_prev_low,0.0015490462504225966
D_prev_inside_day,0.0009843921791149548
D_hh,0.0009472562199990972
D_sma20,0.000824805801622444
D_sma50,0.0008045325340772333
D_inside_day,0.000758218789779091
D_lh,0.0007115439134712596
D_golden_regime,0.0006928108639092605
CPR_Yday_Inside,0.0
CPR_Yday_Overlap,0.0
CPR_Yday_Above,0.0
CPR_Yday_Below,0.0
CPR_Tmr_Below,0.0
CPR_Tmr_Above,0.0
CPR_Tmr_Inside,0.0
CPR_Tmr_Overlap,0.0
Struct_downtrend,0.0
Struct_uptrend,0.0
DayType_bearish,0.0
DayType_inside,0.0
